p_productImg,p_productName,p_price,p_description,p_categoryId
4d0cc65b-09d4-4630-be99-aede1810b67f.jpg,"Lolo pets,корм для амадин и экзотических птиц,500 гр.",1 200,"Состав корма: просо жёлтое, канареечник канарский, просо красное, масличный нуг, льняное семя, семена конопли, кукурузная мука, пшеничная мука, каротин, люцерновая мука.Аналитический состав:- сырой белок (мин.) 15%;- сырой жир (мин.) 2, 8%;- сырое во..",17
5fac9c4f-536a-445b-85d3-ed326ecc264c.jpg,"Lolo pets,корм для средних попугаев,600 гр.",1 200,Полнорационный корм для попугаев нимф. Натуральные ингредиенты обеспечивают наполнение корма витаминами и минералами. Идеально подходит для ежедневного использования..,17
573c0240-4ff1-4e36-82de-0f97b975bca5.jpg,"Lolo pets,полнорационный корм для канареек,600 гр.",1 300,"Полнорационная кормовая смесь.Состав: семена канареечника канарского, семена рапса, семена репешка, просо красное, просо желтое льняное семя, семена конопли, овес очищенный, кукурузная мука, пшеничная мука, люцерновая мука, хлебобулочные изделия с до..",17
f856eefb-8de3-4710-a601-98d05a578286.jpg,"Lolo pets,полнорационный корм для неразлучников,500 гр.",950,"Полнорационная кормовая смесь.Состав: просо красное, канареечник канарский, просо желтое, плоды рожкового дерева, пдсолнечник черный, сорго белое, сорго красное, сафлор, семена конопли, масличный нуг, льняное семя, кукурузная мука, пшеничная мука, ка..",17
e1011ab1-6908-4a53-8a5b-b473617f124b.jpg,"Padovan Blanc Patee,дополнительный корм для зерноядных птиц,300 гр.",1 000,"Этот мягкий пюреобразный корм не содержит красителей, даже в используемом сырье, для предотвращения изменения натуральной окраски птиц со светлым оперением.СОСТАВ	хлебопродукты	злаки	масла и жиры	сахара (мед 2%)	минеральные вещества	сорбит	семена..",17
9284d498-c09c-4d58-b7e1-cc3105d6f25d.jpg,"Padovan Grandmix Canarini,комплексный корм для канареек,400 гр.",1 000,"Смесь зерен и семян с сушеными фруктами, раскрошенным печеньем и измельченными ракушками, с витаминными добавками.СОСТАВ:	семена	злаки	минеральные вещества (измельченные ракушки 3,5%)	хлебопродукты (печенье 3%)	фрукты (1%)..",17
c9502810-0877-4040-9721-727824d12523.jpg,"Padovan Grandmix Cocorite,комплексный корм для волнистых попугаев,400 гр.",1 000,"Смесь зерен и семян с сушеными фруктами, раскрошенным печеньем и измельченными ракушками, с витаминными добавками.СОСТАВ	злаки	семена	минеральные вещества (измельченные ракушки 3,5%)	хлебопродукты (печенье 3%)	фрукты (1,5%)..",17
9e25d6e6-5389-4184-8185-f026a418c6b9.jpg,"Padovan Grandmix Esotici,комплексный корм для маленьких экзотических птиц,400 гр.",1 000,"Смесь зерен и семян с сушеными фруктами, раскрошенным печеньем и измельченными ракушками, с витаминными добавками.СОСТАВ:	злаки	семена	минеральные вещества (измельченные ракушки 4%)	хлебопродукты (печенье 3%)	фрукты (1,5%)..",17
2afece7d-12d7-48e4-b846-deade47d2201.jpg,"Padovan Grandmix Parrocchetti,комплексный корм для средних попугаев и неразлучников,400 гр.",1 000,"Смесь зерен и семян с сушеными фруктами, раскрошенным печеньем и измельченными ракушками, с витаминными добавками.СОСТАВ	злаки	семена (арахис 1%)	минеральные вещества (измельченные ракушки 4%)	хлебопродукты (печенье 3%)	фрукты (1%)	орехи..",17
8bea01c7-be1a-4beb-8442-d61c9ec8403e.jpg,"Padovan Naturalmix Canarini,био-песок с витаминами для здорового питания декоративных птиц,700 гр.",2 000,"Смесь усвояемых минеральных веществ (измельченных ракушек), которые придают кальций, и наполнителей (кварц и каолиновая глина) способствует пищеварению принятой пищи. Добавка древесного угля регулирует ферментацию в кишечнике...",17
3d972120-7c52-4324-9a57-925dcf976166.jpg,"Вака High Quality,корм для волнистых попугаев,500 гр.",950,"Состав: просо красное, просо белое, овес чищенный, семя конопли, канареечное семя, семя луговых трав, семя суданки, морские водоросли, льняное семя, глюконат кальция, пробиотик.Линейка ВАКА High Qualityсостоит из 12-ти видов кормов для попугаев мелки..",17
4d992521-8baa-4f09-b131-52613cd1dd39.jpg,"Вака High Quality,корм для волнистых попугаев,уп.500 гр.",550,"Смесь содержит девять видов семян, обеспечивающих сбалансированный и разнообразный рацион для экзотических птиц...",17
d75689f7-7d5c-436e-aeb5-9b4b813db472.jpg,"Вака Люкс,корм для средних попугаев,уп.900 гр.",1 600,"Вака Люкс корм для средних попугаев, уп. 900 гр.Корм супер-премиум класса для средних попугаев.Эксклюзивная серия кормов ""ВАКА-Люкс"" - это корма класса супер-премиум, упакованные в оригинальные банки с двойной крышкой. Жестяная крышка с ключом гарант..",17
d1870306-2f64-4855-99dc-4769ab3cb3ad.jpg,"Вака Люкс,кормовая смесь для крупных попугаев,800 гр.",1 600,"Полноценный сбалансированный корм для крупных попугаев: ара, жако, амазоны, ожереловые, розеллы и др. Корм ""Вака люкс"" по составу, калорийности и содержанию витаминов наиболее соответствует рациону птиц в естественной среде обитания. Состав корма ""Ва..",17
ac3e1441-acdc-490f-be94-175e2b140d03.jpg,"Вака,корм для средних попугаев,500 гр.",1 600,"Кормовая смесь для средних попугаев ""Вака High Quality"" - это уникальный состав, в который входит не только традиционный рацион для ежедневного питания, но и дополнительные компоненты, необходимые попугаю. Йод предотвращает заболевания щитовидной жел..",17
9dc299a6-94cc-4193-a629-fec6321e41b9.jpg,"Рио корм для волнистых попугаев в период линьки,уп.500 гр.",750,"Cодержит повышенное количество белков и жиров, необходимых для быстрого восстановления оперения...",17
a6900aac-5868-4ad8-ad86-d3f14868abd1.jpg,"Рио корм для крупных попугаев,уп.500 гр.",900,"Тщательно сбалансированная зерновая смесь, в состав которой отобраны самые полезные и любимые попугайчиками зерна и семена. Их разнообразие обеспечит птицу всеми необходимыми питательными веществами...",17
ae1b1c8b-90a1-4651-95c5-e7cb4056d4e9.jpg,"Рио корм для экзотических видов птиц,уп.500 гр.",900,"Зерновая смесь для ежедневного кормления амадин, астрильдов и других видов ткачиков. Содержит мелкие сорта проса и редкие компоненты, такие как паникум желтый, паникум красный, пайза, абиссинский нуг и др. Их разнообразие обеспечит птицу всеми необхо..",17
